量比选股 — 2026-05-19 15:00
============================================================
阈值: 量比 > 2.0
总数: 180 只

      代码  名称              价格       涨幅%        量比
  603726  朗迪集团         28.63     -5.04       2.2
  301595  太力科技         50.52      9.59       2.2
  603893  瑞芯微         193.00      6.51       2.2
  605123  派克新材        121.00     -0.21       2.2
  301162  国能日新         51.99      8.47       2.1
  000752  *ST西发         9.35      5.06       2.1
  300976  达瑞电子         84.92     10.03       2.1
  000021  深科技          37.67      1.73       2.1
  002611  东方精工         20.35      5.01       2.1
  002918  蒙娜丽莎         16.77      0.00       2.1
  300983  尤安设计         41.42      0.31       2.1
  603773  沃格光电         70.73      4.80       2.1
  002208  合肥城建         25.12      9.98       2.1
  603262  技源集团         27.08      1.96       2.1
  688805  健信超导         57.31      5.86       2.1
  603195  公牛集团         43.25      0.93       2.1
  920092  汉鑫科技         35.05      1.13       2.1
  003018  金富科技         66.50      2.23       2.1
  300657  弘信电子         52.08     20.00       2.1
  603326  我乐家居          8.47      2.79       2.1
  920662  方盛股份         24.64      5.30       2.1
  002905  金逸影视          8.96     -0.78       2.1
  300894  火星人          10.58      4.03       2.1
  600909  华安证券          6.26     -0.32       2.1
  002541  鸿路钢构         18.70      5.95       2.0
  688335  复洁科技         28.18     -3.03       2.0
  000056  *ST皇庭         1.46      2.10       2.0
  688190  云路股份         98.99      7.13       2.0
  688807  优迅股份        476.48      7.07       2.0
  920020  泰凯英          16.26      4.23       2.0
  002121  科陆电子          7.49     -0.40       2.0
  600446  金证股份         14.41      2.05       2.0
  000711  ST京蓝          6.09     -2.09       2.0
  920108  宏海科技         12.08      4.50       2.0
  002988  豪美新材         34.76     10.00       2.0
  605303  园林股份         27.28     -4.45       2.0
  605066  天正电气          7.99      2.44       2.0
  002678  珠江钢琴          6.27      5.91       2.0
  605199  ST葫芦娃         6.79      1.34       2.0
